requirement_id,status,snapshot,files,evidence,finding_ids,reviewer,rationale
K01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,design/palette.json; apps/ios/Reva/Features/Shared/Theme.swift; apps/web/src/styles/tokens.css; apps/ios/Reva/Device/ReportPDFRenderer.swift,reports/track-14.md; evidence/ui/demo-summary-1440.png; reports/track-04.md,RVA-04-007; RVA-04-008,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Main light UI uses all six approved heart roles and removes Appearance. Native PDF still hardcodes teal (canonical RVA-04-008); a small native caption pair also misses its stated contrast target (RVA-04-007).
K02,Pass,fable-audit-20260912-114322 @ cfe0997+wip,apps/ios/Reva/Features/Shared/SummaryView.swift; apps/web/src/App.tsx; apps/web/src/features/Dashboard.tsx; apps/web/src/landing/Landing.tsx,reports/track-04.md; reports/track-14.md; evidence/ui/demo-summary-1440.png; evidence/ui/landing-390.png,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Platform hierarchy and fictional prototype labeling assessed from source and fresh browser images. Native current-color UI was not newly captured; no clinical performance/design certification asserted.
K03,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/styles/layout.css; apps/web/src/styles/features.css; apps/ios/Reva/Features/Shared/Theme.swift,evidence/r2-ui-matrix.jsonl; evidence/ui/; reports/track-14.md; reports/track-04.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"76 static captured layouts cover6 widths without reported overflow/overlap; no full editor/error state set,software-keyboard short-height,200%zoom or native large-text execution."
K04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/App.tsx; apps/web/src/styles/layout.css; apps/web/src/styles/tokens.css; apps/web/src/components/ui.tsx,reports/track-14.md; evidence/r2-ui-matrix.jsonl; evidence/ui/,RVA-14-001; RVA-14-002; RVA-04-009,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Tablet CSS hides navigation labels that supply accessible names; selected source text uses low-contrast colors. Source-demonstrated defects; keyboard/screen-reader full behavior remains unverified despite DOM-label inventory.
K05,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/features/visits/useVisitRecorder.ts; apps/ios/Reva/Device/AudioServices.swift; apps/web/README.md; docs/architecture.md,reports/track-05.md; reports/track-14.md,RVA-05-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Safari/Firefox/iPhone hardware,codec playback and actual export are explicitly unverified. IndexedDB persistence is not an offline-launch guarantee; no service-worker claim made."
L01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,vercel.json; apps/web/vercel.json; apps/web/README.md; docs/deployment-vercel.md,"reports/track-16.md; reports/track-01.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-08,r1-09",RVA-16-001,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Instructions select incompatible roots, splitting build/security settings and pathname rewrites. Local4-route wrapper/build pass; actual hosted Vercel resolution not observed; /app remains WIP."
L02,WIP,fable-audit-20260912-114322 @ cfe0997+wip,vercel.json; apps/web/src/core/api.ts; server/Sources/RevaServer/HTTP.swift; docs/deployment-vercel.md,reports/track-16.md; evidence/context/accounts-and-tiger.md; evidence/context/reva-stack-spec.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Static frontend/proxy/Vapor separation is documented. Hosted backend routing and planned external API-origin/CORS/account integration are outside frozen implementation; frontend env keys are not deployment proof.
L03,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/scripts/serve.mjs; apps/web/scripts/serve.test.mjs; apps/web/src/features/records/extractDocument.ts,reports/track-16.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-08,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Seven real local wrapper tests pass allowlists,body,path,redirect,headers/static boundaries. Actual PDF/OCR/WASM worker operation under served CSP and every deadline path not executed; full checklist remains partial."
L04,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/package.json; apps/web/scripts/prepare-assets.mjs; apps/web/src/core/__tests__/fixtures.ts; Package.swift; server/Package.swift,"reports/track-16.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-04,r1-06,r1-07,r1-09,r1-11,r1-18",RVA-16-002,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Fresh standalone typecheck/tests fail without generated ignored demo assets; production prebuild and later77tests succeed. Native/server build and pinned install pass; release archive/Linux deployment unverified.
M01,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/features/records/extractDocument.ts; apps/web/src/core/repository.ts; apps/ios/Reva/Device/ReportPDFRenderer.swift; server/Sources/RevaServer/PostgresStore.swift,reports/track-15.md; reports/track-05.md; reports/17-evidence-runner.md; evidence/runner1-summary.json r1-21,RVA-05-003; RVA-05-009; RVA-07-002; RVA-10-003,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Artifact/chunk sizes measured; no representative large-record/PDF/audio latency,peak memory,worker heap retention or SQL plan/runtime benchmark. Source complexity bounds are not performance ratings."
M02,Pass,fable-audit-20260912-114322 @ cfe0997+wip,scripts/check_optimization_fixes.py; Tests/OptimizationChecks/StateChecks.swift; Tests/OptimizationChecks/ProviderChecks.swift,reports/17-evidence-runner.md; evidence/runner1-summary.json r1-17; reports/track-15.md; evidence/codex-takeover/provider-context-repro.txt,RVA-03-005; RVA-03-006,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Fresh runner reports all6 previous regression groups R1,R2,R3,R5,R6,R9 pass. Earlier RVA-03-007 no-run gap is superseded by this evidence; remaining coverage/optimization-flag concerns stay suggestions."
M03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,docs/team-workflow.md; apps/web/src/core/store.ts; apps/web/src/features/visits/visitEdits.ts; apps/ios/Reva/State/AppStore.swift,reports/track-15.md; reports/track-08.md,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Review recommends reusing focused edit-merge boundaries and measuring hotspots first; no arbitrary file-size/chunk quota or unsupported caching/abstraction mandate.
N01,Defect,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/package.json; apps/web/src/core/__tests__/fixtures.ts; apps/web/src/core/__tests__/store.test.ts; Tests/OptimizationChecks/StateChecks.swift,reports/track-06.md; reports/track-15.md; reports/track-16.md; reports/17-evidence-runner.md; evidence/runner1-summary.json; evidence/codex-takeover/provider-context-repro.txt,RVA-16-002; RVA-06-005; RVA-11-005,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Meaningful production-boundary/race tests exist with labeled mocks, but documented standalone checks fail before asset generation. Missing-original double behavior and native state/hardware gaps remain separately inventoried."
N02,Unverified,fable-audit-20260912-114322 @ cfe0997+wip,apps/web/src/features/records/ImportDialog.tsx; apps/web/src/features/visits/VisitBrief.tsx; apps/web/src/features/visits/BookingPanel.tsx; apps/ios/Reva/Features/Visits/RecordingDetailView.swift,reports/track-07.md; reports/track-08.md; evidence/r2-ui-matrix.jsonl; evidence/ui/,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,Static starting screens and unit suites do not prove import-review-save-report-source-edit-stale-regenerate-export-reload or booking/transcript-memory journeys; Stage2 report remained incomplete.
N03,Pass,fable-audit-20260912-114322 @ cfe0997+wip,reports/track-01-findings.json through track-16-findings.json,reports/18-validator.md; reports/19-validator.md; finding-register.json,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Independent validators18/19 adjudicated all77 inputs on tracks they did not author. Three duplicate entries are merged, unsupported claims rejected or qualified, and focused unchanged-production reproductions independently inspected."
N04,Pass,fable-audit-20260912-114322 @ cfe0997+wip,reports/track-01.md through track-16.md; reports/coverage-draft.csv,FINAL-REPORT.md; findings.json; repair-backlog.csv; reports/coverage.csv; evidence/codex-takeover/evidence-inventory.json,,Codex coverage synthesis; tracks01–16; independent validators18/19; supervisor final adjudication,"Final report,74 canonical findings,77-entry provenance register,23 ranked repairs,improvements,67 dispositions,commands and evidence inventory delivered. Completion is audit delivery, not certification of unexecuted functionality."
